conversation_id,scenario,layer,entropy_mean,entropy_std,baseline
T0/test/3,T0,0,0.98663044,0.0,attention_entropy
T0/test/3,T0,1,1.162606,0.0,attention_entropy
T0/test/3,T0,2,2.9396462,0.0,attention_entropy
T0/test/3,T0,3,3.1132426,0.0,attention_entropy
T0/test/3,T0,4,3.1382766,0.0,attention_entropy
T0/test/3,T0,5,3.1972382,0.0,attention_entropy
T0/test/3,T0,6,3.4045172,0.0,attention_entropy
T0/test/3,T0,7,3.3508005,0.0,attention_entropy
T0/test/3,T0,8,3.2775006,0.0,attention_entropy
T0/test/3,T0,9,3.2179027,0.0,attention_entropy
T0/test/3,T0,10,3.225697,0.0,attention_entropy
T0/test/3,T0,11,3.3574903,0.0,attention_entropy
T0/test/3,T0,12,3.2834592,0.0,attention_entropy
T0/test/3,T0,13,3.306172,0.0,attention_entropy
T0/test/3,T0,14,3.3139975,0.0,attention_entropy
T0/test/3,T0,15,3.2679691,0.0,attention_entropy
T0/test/3,T0,16,3.3355196,0.0,attention_entropy
T0/test/3,T0,17,3.1043067,0.0,attention_entropy
T0/test/3,T0,18,3.1805658,0.0,attention_entropy
T0/test/3,T0,19,3.2538002,0.0,attention_entropy
T0/test/3,T0,20,2.9754775,0.0,attention_entropy
T0/test/3,T0,21,3.087668,0.0,attention_entropy
T0/test/3,T0,22,3.1289587,0.0,attention_entropy
T0/test/3,T0,23,3.254901,0.0,attention_entropy
T0/test/3,T0,24,3.1584344,0.0,attention_entropy
T0/test/3,T0,25,3.3517818,0.0,attention_entropy
T0/test/3,T0,26,3.2004404,0.0,attention_entropy
T0/test/3,T0,27,3.4370122,0.0,attention_entropy
T0/test/3,T0,28,3.3804176,0.0,attention_entropy
T0/test/3,T0,29,3.2478666,0.0,attention_entropy
T0/test/3,T0,30,3.5021749,0.0,attention_entropy
T0/test/3,T0,31,3.3903742,0.0,attention_entropy
T0/test/4,T0,0,1.0083221,0.0,attention_entropy
T0/test/4,T0,1,1.2693264,0.0,attention_entropy
T0/test/4,T0,2,2.714252,0.0,attention_entropy
T0/test/4,T0,3,2.8850565,0.0,attention_entropy
T0/test/4,T0,4,2.942888,0.0,attention_entropy
T0/test/4,T0,5,2.9737222,0.0,attention_entropy
T0/test/4,T0,6,3.2117913,0.0,attention_entropy
T0/test/4,T0,7,3.180646,0.0,attention_entropy
T0/test/4,T0,8,3.1135693,0.0,attention_entropy
T0/test/4,T0,9,3.0633922,0.0,attention_entropy
T0/test/4,T0,10,3.1556861,0.0,attention_entropy
T0/test/4,T0,11,3.1917956,0.0,attention_entropy
T0/test/4,T0,12,3.2584434,0.0,attention_entropy
T0/test/4,T0,13,3.1796026,0.0,attention_entropy
T0/test/4,T0,14,3.2757733,0.0,attention_entropy
T0/test/4,T0,15,3.176996,0.0,attention_entropy
T0/test/4,T0,16,3.2257535,0.0,attention_entropy
T0/test/4,T0,17,2.9499989,0.0,attention_entropy
T0/test/4,T0,18,2.9752529,0.0,attention_entropy
T0/test/4,T0,19,3.0623646,0.0,attention_entropy
T0/test/4,T0,20,2.785708,0.0,attention_entropy
T0/test/4,T0,21,2.8708627,0.0,attention_entropy
T0/test/4,T0,22,2.896688,0.0,attention_entropy
T0/test/4,T0,23,3.001957,0.0,attention_entropy
T0/test/4,T0,24,2.9110851,0.0,attention_entropy
T0/test/4,T0,25,3.135446,0.0,attention_entropy
T0/test/4,T0,26,2.9919646,0.0,attention_entropy
T0/test/4,T0,27,3.2380795,0.0,attention_entropy
T0/test/4,T0,28,3.2022257,0.0,attention_entropy
T0/test/4,T0,29,3.071457,0.0,attention_entropy
T0/test/4,T0,30,3.3128023,0.0,attention_entropy
T0/test/4,T0,31,3.7269573,0.0,attention_entropy
T0/test/5,T0,0,0.8751884,0.0,attention_entropy
T0/test/5,T0,1,1.0888752,0.0,attention_entropy
T0/test/5,T0,2,2.071105,0.0,attention_entropy
