conversation_id,scenario,layer,cka,baseline
T0/test/4,T0,4,0.49864396,cka
T0/test/4,T0,5,0.40633538,cka
T0/test/4,T0,6,0.30049276,cka
T0/test/4,T0,7,0.3644794,cka
T0/test/4,T0,8,0.34813946,cka
T0/test/4,T0,9,0.27982005,cka
T0/test/4,T0,10,0.26826257,cka
T0/test/4,T0,11,0.27436078,cka
T0/test/4,T0,12,0.31242192,cka
T0/test/4,T0,13,0.33251286,cka
T0/test/4,T0,14,0.2978535,cka
T0/test/4,T0,15,0.30335304,cka
T0/test/4,T0,16,0.2738739,cka
T0/test/4,T0,17,0.23535377,cka
T0/test/4,T0,18,0.22428815,cka
T0/test/4,T0,19,0.20449713,cka
T0/test/4,T0,20,0.19876616,cka
T0/test/4,T0,21,0.20032173,cka
T0/test/4,T0,22,0.16923708,cka
T0/test/4,T0,23,0.15866573,cka
T0/test/4,T0,24,0.15603536,cka
T0/test/4,T0,25,0.15910687,cka
T0/test/4,T0,26,0.1503327,cka
T0/test/4,T0,27,0.14928727,cka
T0/test/4,T0,28,0.14219312,cka
T0/test/4,T0,29,0.1488369,cka
T0/test/4,T0,30,0.15565266,cka
T0/test/4,T0,31,0.17032504,cka
T0/test/5,T0,0,0.83672035,cka
T0/test/5,T0,1,0.8825973,cka
T0/test/5,T0,2,0.8085283,cka
T0/test/5,T0,3,0.7206535,cka
T0/test/5,T0,4,0.60836697,cka
T0/test/5,T0,5,0.45515507,cka
T0/test/5,T0,6,0.4137431,cka
T0/test/5,T0,7,0.43057495,cka
T0/test/5,T0,8,0.34542668,cka
T0/test/5,T0,9,0.27235323,cka
T0/test/5,T0,10,0.2484009,cka
T0/test/5,T0,11,0.26340237,cka
T0/test/5,T0,12,0.26528645,cka
T0/test/5,T0,13,0.26342764,cka
T0/test/5,T0,14,0.23247595,cka
T0/test/5,T0,15,0.23691344,cka
T0/test/5,T0,16,0.20514686,cka
T0/test/5,T0,17,0.190217,cka
T0/test/5,T0,18,0.17634076,cka
T0/test/5,T0,19,0.17166857,cka
T0/test/5,T0,20,0.17202915,cka
T0/test/5,T0,21,0.17697665,cka
T0/test/5,T0,22,0.16187839,cka
T0/test/5,T0,23,0.15778108,cka
T0/test/5,T0,24,0.16896361,cka
T0/test/5,T0,25,0.19189042,cka
T0/test/5,T0,26,0.1847754,cka
T0/test/5,T0,27,0.1857932,cka
T0/test/5,T0,28,0.18360174,cka
T0/test/5,T0,29,0.17575859,cka
T0/test/5,T0,30,0.16971798,cka
T0/test/5,T0,31,0.10644735,cka
T0/test/6,T0,0,0.83672035,cka
T0/test/6,T0,1,0.8825973,cka
T0/test/6,T0,2,0.8085283,cka
T0/test/6,T0,3,0.7206535,cka
T0/test/6,T0,4,0.60836697,cka
T0/test/6,T0,5,0.45515507,cka
T0/test/6,T0,6,0.4137431,cka
T0/test/6,T0,7,0.43057495,cka
T0/test/6,T0,8,0.34542668,cka
T0/test/6,T0,9,0.27235323,cka
T0/test/6,T0,10,0.2484009,cka
T0/test/6,T0,11,0.26340237,cka
T0/test/6,T0,12,0.26528645,cka
T0/test/6,T0,13,0.26342764,cka
T0/test/6,T0,14,0.23247595,cka
T0/test/6,T0,15,0.23691344,cka
T0/test/6,T0,16,0.20514686,cka
T0/test/6,T0,17,0.190217,cka
T0/test/6,T0,18,0.17634076,cka
T0/test/6,T0,19,0.17166857,cka
T0/test/6,T0,20,0.17202915,cka
T0/test/6,T0,21,0.17697665,cka
T0/test/6,T0,22,0.16187839,cka
T0/test/6,T0,23,0.15778108,cka
T0/test/6,T0,24,0.16896361,cka
T0/test/6,T0,25,0.19189042,cka
T0/test/6,T0,26,0.1847754,cka
T0/test/6,T0,27,0.1857932,cka
T0/test/6,T0,28,0.18360174,cka
T0/test/6,T0,29,0.17575859,cka
T0/test/6,T0,30,0.16971798,cka
