conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T0/test/0,T0,0,7.807375907897949,5.222940444946289,8.72391414642334,5.985050201416016,6.682031631469727,15.646446118217332,gpt2,layer_count,3
T0/test/1,T0,0,6.617949485778809,3.8611879348754883,7.5237345695495605,5.369019031524658,6.155455589294434,13.491797819802711,gpt2,layer_count,3
T0/test/10,T0,0,7.3603339195251465,4.540999412536621,8.273175239562988,6.255374431610107,7.1740336418151855,15.291732654922594,gpt2,layer_count,3
T0/test/11,T0,0,6.621384620666504,3.5048305988311768,7.3959641456604,5.640259265899658,6.129411220550537,13.424196957821133,gpt2,layer_count,3
T0/test/12,T0,0,7.807375907897949,5.222940444946289,8.72391414642334,5.985050201416016,6.682031631469727,15.646446118217332,gpt2,layer_count,3
T0/test/13,T0,0,7.140932559967041,4.641408920288086,8.222780227661133,5.5241570472717285,6.169057369232178,14.447258880893006,gpt2,layer_count,3
T0/test/14,T0,0,7.807375907897949,5.222940444946289,8.72391414642334,5.985050201416016,6.682031631469727,15.646446118217332,gpt2,layer_count,3
T0/test/15,T0,0,7.807375907897949,5.222940444946289,8.72391414642334,5.985050201416016,6.682031631469727,15.646446118217332,gpt2,layer_count,3
T0/test/16,T0,0,7.3603339195251465,4.540999412536621,8.273175239562988,6.255374431610107,7.1740336418151855,15.291732654922594,gpt2,layer_count,3
T0/test/17,T0,0,6.621384620666504,3.5048305988311768,7.395963668823242,5.640259265899658,6.129411220550537,13.424196695111158,gpt2,layer_count,3
T0/test/18,T0,0,6.617949485778809,3.8611879348754883,7.5237345695495605,5.369019031524658,6.155455589294434,13.491797819802711,gpt2,layer_count,3
T0/test/19,T0,0,6.980387210845947,4.316053867340088,7.919447898864746,4.903999328613281,5.729836940765381,13.673039984025328,gpt2,layer_count,3
T0/test/2,T0,0,6.617949485778809,3.8611879348754883,7.5237345695495605,5.369019031524658,6.155455589294434,13.491797819802711,gpt2,layer_count,3
T0/test/20,T0,0,7.3603339195251465,4.540999412536621,8.273175239562988,6.255374431610107,7.1740336418151855,15.291732654922594,gpt2,layer_count,3
T0/test/21,T0,0,7.140932559967041,4.641408920288086,8.222780227661133,5.5241570472717285,6.169057369232178,14.447258880893006,gpt2,layer_count,3
T0/test/22,T0,0,6.621384620666504,3.5048305988311768,7.3959641456604,5.640259265899658,6.129411220550537,13.424196957821133,gpt2,layer_count,3
