permutation,layer,mean_attention
51,mor,0.018361676
51,pos,0.018602917
52,min,0.018837128
52,nar,0.018666497
52,soc,0.018562606
52,mor,0.0182257
52,pos,0.01828294
53,min,0.018532226
53,nar,0.018723885
53,soc,0.01833406
53,mor,0.018521965
53,pos,0.018453207
54,min,0.018504739
54,nar,0.018763104
54,soc,0.018374851
54,mor,0.018456195
54,pos,0.018498259
55,min,0.018432051
55,nar,0.018785238
55,soc,0.018299103
55,mor,0.018625528
55,pos,0.018443687
56,min,0.018513696
56,nar,0.018821478
56,soc,0.018322647
56,mor,0.018576689
56,pos,0.018378781
57,min,0.018489387
57,nar,0.01865677
57,soc,0.018575715
57,mor,0.018456273
57,pos,0.01835823
58,min,0.018365698
58,nar,0.018595934
58,soc,0.018585013
58,mor,0.01863359
58,pos,0.018296046
59,min,0.018505692
59,nar,0.01868844
59,soc,0.018433316
59,mor,0.018393066
59,pos,0.018542988
60,min,0.018642591
60,nar,0.018312573
60,soc,0.018271165
60,mor,0.018536344
60,pos,0.018565578
61,min,0.01850851
61,nar,0.018723885
61,soc,0.01835321
61,mor,0.018588707
61,pos,0.018381493
62,min,0.018457422
62,nar,0.018530408
62,soc,0.018640975
62,mor,0.018462367
62,pos,0.018372128
63,min,0.018548267
63,nar,0.01839904
63,soc,0.018706169
63,mor,0.018472366
63,pos,0.01826096
64,min,0.018627081
64,nar,0.018636266
64,soc,0.01856465
64,mor,0.01851016
64,pos,0.018178804
65,min,0.018563509
65,nar,0.018546006
65,soc,0.018825548
65,mor,0.018235628
65,pos,0.018333912
66,min,0.018301377
66,nar,0.018276056
66,soc,0.018712107
66,mor,0.018577322
66,pos,0.01843467
67,min,0.018788235
67,nar,0.01825273
67,soc,0.018354638
67,mor,0.018533349
67,pos,0.018365532
68,min,0.018390868
68,nar,0.018232822
68,soc,0.018297443
68,mor,0.018811822
68,pos,0.018510371
69,min,0.01827635
69,nar,0.018473705
69,soc,0.018686345
69,mor,0.018517375
69,pos,0.018469261
70,min,0.018415272
70,nar,0.01859951
70,soc,0.01850748
70,mor,0.018412564
70,pos,0.018575072
71,min,0.018473106
71,nar,0.018547654
71,soc,0.018621445
71,mor,0.018492047
71,pos,0.01833466
72,min,0.018340243
72,nar,0.0187155
72,soc,0.018587735
72,mor,0.0183594
72,pos,0.018580897
73,min,0.018221153
73,nar,0.018701592
73,soc,0.018576195
73,mor,0.018515676
73,pos,0.018538883
74,min,0.018452277
74,nar,0.018481165
74,soc,0.018435623
74,mor,0.018644795
74,pos,0.018395236
75,min,0.018535266
75,nar,0.018404523
75,soc,0.018431315
75,mor,0.018463653
75,pos,0.018556425
76,min,0.018432843
76,nar,0.018350601
76,soc,0.018533077
76,mor,0.01845254
76,pos,0.018592894
77,min,0.018709762
77,nar,0.018251976
77,soc,0.018719925
77,mor,0.018306218
77,pos,0.01833862
78,min,0.018482745
78,nar,0.018284997
78,soc,0.018564863
78,mor,0.018381994
78,pos,0.018619945
79,min,0.018610166
79,nar,0.018610438
79,soc,0.018126955
79,mor,0.018413372
79,pos,0.018755095
80,min,0.018449234
80,nar,0.01842177
80,soc,0.018483248
80,mor,0.01856365
80,pos,0.018468847
81,min,0.01841453
81,nar,0.018625975
81,soc,0.018400183
81,mor,0.018445201
81,pos,0.018634468
82,min,0.01859642
82,nar,0.018294016
82,soc,0.018604722
82,mor,0.018502261
82,pos,0.0183251
83,min,0.018351572
83,nar,0.017959336
83,soc,0.018675396
83,mor,0.018476356
83,pos,0.018672314
84,min,0.018296948
84,nar,0.01842177
84,soc,0.018407421
84,mor,0.01860791
84,pos,0.018646376
85,min,0.018387152
85,nar,0.018835625
85,soc,0.018364668
85,mor,0.01851245
85,pos,0.018530658
86,min,0.01847423
86,nar,0.01834639
86,soc,0.018589752
86,mor,0.018309198
86,pos,0.018660456
87,min,0.01843381
87,nar,0.018623987
87,soc,0.018823246
87,mor,0.018371508
87,pos,0.018277202
88,min,0.018632855
88,nar,0.018442353
88,soc,0.018564973
88,mor,0.018386029
88,pos,0.018397676
89,min,0.018638577
89,nar,0.018173456
89,soc,0.018639117
89,mor,0.018431216
89,pos,0.018381407
90,min,0.018371271
90,nar,0.018787622
90,soc,0.018646913
90,mor,0.018304855
90,pos,0.018522117
91,min,0.018450724
91,nar,0.01854817
91,soc,0.01844779
91,mor,0.018519364
91,pos,0.018499255
92,min,0.018635409
92,nar,0.01810362
92,soc,0.018233998
92,mor,0.018658992
92,pos,0.01855931
93,min,0.018401792
93,nar,0.01841867
93,soc,0.018499246
93,mor,0.018680606
93,pos,0.018367955
94,min,0.018254837
94,nar,0.018690905
94,soc,0.01853173
94,mor,0.018572971
94,pos,0.018488765
95,min,0.018407183
95,nar,0.01818057
95,soc,0.018674543
95,mor,0.01832207
95,pos,0.018699067
96,min,0.018641671
96,nar,0.018641869
96,soc,0.018435435
96,mor,0.018203184
96,pos,0.018641856
97,min,0.018574936
97,nar,0.018368602
97,soc,0.018576166
97,mor,0.018478617
97,pos,0.018370194
98,min,0.018569384
98,nar,0.018520793
98,soc,0.018531306
98,mor,0.018421493
98,pos,0.018420666
99,min,0.018623233
99,nar,0.018411377
99,soc,0.018539002
99,mor,0.018369623
99,pos,0.018465294
100,min,0.018222103
100,nar,0.018686444
100,soc,0.018646011
100,mor,0.018602774
100,pos,0.018375073
101,min,0.018606203
101,nar,0.0185558
101,soc,0.018630156
101,mor,0.018308416
101,pos,0.018399226
102,min,0.018457247
102,nar,0.01846234
102,soc,0.018363902
102,mor,0.018667683
102,pos,0.0184439
103,min,0.018566562
103,nar,0.018585086
103,soc,0.018351844
103,mor,0.018490009
103,pos,0.018497093
104,min,0.018403606
104,nar,0.018681088
104,soc,0.018370083
104,mor,0.01852896
104,pos,0.018556148
105,min,0.018510047
105,nar,0.018232822
105,soc,0.018596172
105,mor,0.018628344
105,pos,0.018302152
106,min,0.018431319
106,nar,0.018552879
106,soc,0.01819758
106,mor,0.01860845
106,pos,0.018665042
107,min,0.018403828
107,nar,0.018308839
107,soc,0.018664667
107,mor,0.018372748
107,pos,0.018599408
108,min,0.01851322
108,nar,0.018496752
108,soc,0.018431548
108,mor,0.018365987
108,pos,0.018650327
109,min,0.018426908
109,nar,0.018604716
109,soc,0.018468559
109,mor,0.018506713
109,pos,0.01849253
110,min,0.018419458
110,nar,0.018661818
110,soc,0.018618107
110,mor,0.01844918
110,pos,0.018391712
111,min,0.018827213
111,nar,0.018113673
111,soc,0.018494401
111,mor,0.018458143
