conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total
T0/test/0,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439895629882812,21.396778106689453,45.71846326305005
T0/test/1,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/10,T0,0,20.471843719482422,13.568596839904785,20.412059783935547,21.51485824584961,20.466602325439453,43.60764068587558
T0/test/11,T0,0,20.321481704711914,13.41238784790039,20.255998611450195,21.357561111450195,20.309812545776367,43.2642363676793
T0/test/12,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439895629882812,21.396778106689453,45.71846326305005
T0/test/13,T0,0,20.842851638793945,13.987996101379395,20.766735076904297,21.872940063476562,20.8287410736084,44.425305253370716
T0/test/14,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439895629882812,21.396778106689453,45.71846326305005
T0/test/15,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439897537231445,21.396778106689453,45.71846419922993
T0/test/16,T0,0,20.471843719482422,13.568596839904785,20.412059783935547,21.51485824584961,20.466602325439453,43.60764068587558
T0/test/17,T0,0,20.321481704711914,13.41238784790039,20.255998611450195,21.357561111450195,20.309812545776367,43.2642363676793
T0/test/18,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/19,T0,0,20.347488403320312,13.447461128234863,20.296783447265625,21.397212982177734,20.35195541381836,43.34578094802958
T0/test/2,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/20,T0,0,20.471843719482422,13.568596839904785,20.412059783935547,21.51485824584961,20.466602325439453,43.60764068587558
T0/test/21,T0,0,20.842851638793945,13.987996101379395,20.766735076904297,21.872940063476562,20.8287410736084,44.425305253370716
T0/test/22,T0,0,20.321481704711914,13.41238784790039,20.255998611450195,21.357561111450195,20.309812545776367,43.2642363676793
T0/test/23,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/24,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/25,T0,0,20.347488403320312,13.447461128234863,20.296783447265625,21.397212982177734,20.351953506469727,43.34578005248053
T0/test/26,T0,0,20.471843719482422,13.568596839904785,20.412059783935547,21.51485824584961,20.466602325439453,43.60764068587558
T0/test/27,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439895629882812,21.396778106689453,45.71846326305005
T0/test/28,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439897537231445,21.396778106689453,45.71846419922993
T0/test/29,T0,0,20.842851638793945,13.987996101379395,20.766735076904297,21.872940063476562,20.8287410736084,44.425305253370716
T0/test/3,T0,0,20.347488403320312,13.447461128234863,20.296783447265625,21.397212982177734,20.35195541381836,43.34578094802958
T0/test/4,T0,0,20.471843719482422,13.568596839904785,20.412059783935547,21.51485824584961,20.466602325439453,43.60764068587558
T0/test/5,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439897537231445,21.396778106689453,45.71846419922993
T0/test/6,T0,0,21.41370964050293,14.656133651733398,21.341453552246094,22.439895629882812,21.396778106689453,45.71846326305005
T0/test/7,T0,0,20.472946166992188,13.576379776000977,20.40543556213379,21.519515991210938,20.47003173828125,43.61138820218164
T0/test/8,T0,0,20.842851638793945,13.987995147705078,20.766735076904297,21.872940063476562,20.8287410736084,44.425304953091576
T0/test/9,T0,0,20.321481704711914,13.41238784790039,20.255998611450195,21.357561111450195,20.309812545776367,43.2642363676793
T1/test/0,T1,0,18.858667373657227,11.822792053222656,18.78977394104004,19.95186424255371,18.82603645324707,40.0122467138707
T1/test/1,T1,0,19.240070343017578,12.313960075378418,19.164907455444336,20.324119567871094,19.207046508789062,40.87894408027109
T1/test/10,T1,0,20.82682991027832,14.091828346252441,20.75306510925293,21.874801635742188,20.795740127563477,44.42967404491081
T1/test/11,T1,0,18.159744262695312,10.976269721984863,18.073095321655273,19.270984649658203,18.131860733032227,38.432106450353885
T1/test/12,T1,0,18.858667373657227,11.822792053222656,18.78977394104004,19.95186424255371,18.82603645324707,40.0122467138707
T1/test/13,T1,0,20.493864059448242,13.740625381469727,20.428295135498047,21.551294326782227,20.464094161987305,43.69617751170377
T1/test/14,T1,0,18.858667373657227,11.822792053222656,18.78977394104004,19.95186424255371,18.826038360595703,40.01224761129134
T1/test/15,T1,0,18.858667373657227,11.822793006896973,18.78977394104004,19.95186424255371,18.82603645324707,40.01224699566176
T1/test/16,T1,0,20.82682991027832,14.091828346252441,20.753063201904297,21.874799728393555,20.795740127563477,44.42967221491311
T1/test/17,T1,0,18.159744262695312,10.976268768310547,18.07309341430664,19.27098274230957,18.131860733032227,38.432104324632135
T1/test/18,T1,0,19.240070343017578,12.313960075378418,19.164907455444336,20.324119567871094,19.207046508789062,40.87894408027109
T1/test/19,T1,0,19.166645050048828,12.244379043579102,19.096277236938477,20.266874313354492,19.141258239746094,40.73189004185014
T1/test/2,T1,0,19.240070343017578,12.313960075378418,19.164907455444336,20.324119567871094,19.207046508789062,40.87894408027109
T1/test/20,T1,0,20.82682991027832,14.091828346252441,20.753063201904297,21.874801635742188,20.795740127563477,44.42967315398983
T1/test/21,T1,0,20.493864059448242,13.740625381469727,20.428295135498047,21.551294326782227,20.464094161987305,43.69617751170377
T1/test/22,T1,0,18.159744262695312,10.976269721984863,18.073095321655273,19.270984649658203,18.131860733032227,38.432106450353885
T1/test/23,T1,0,19.240070343017578,12.313960075378418,19.164907455444336,20.324119567871094,19.207046508789062,40.87894408027109
T1/test/24,T1,0,19.240070343017578,12.313960075378418,19.164907455444336,20.324119567871094,19.207046508789062,40.87894408027109
T1/test/25,T1,0,19.166645050048828,12.244379997253418,19.096277236938477,20.266876220703125,19.141260147094727,40.73189217389457
